region_id,label,network,role,dk_ctrl_A,dk_glio_A,dk_diff_A,degree,strength,eigcent,slope_ctrl_mild,slope_ctrl_full,slope_glio_mild,slope_glio_full,gap_d0,gap_d05,gap_d1
53,Occipital Inf R,Visual,driver,-0.5397457627118644,-0.07550847457627126,0.46423728813559306,14,0.8887149509799905,0.00382296859333821,-0.7047457627118536,1.221559322033888,-1.3423728813559326,1.651118644067776,-2.399491525423734,-2.080677966101689,-3.070677966101691
54,Fusiform L,Visual,not tested,-0.036355932203389875,-0.019576271186440692,0.016779661016949183,12,0.46517119238022836,0.0008704660852156512,,,,,,,
55,Fusiform R,Visual,not tested,0.03635593220338976,0.050338983050847406,0.013983050847457648,7,0.4236740370475586,0.0011057752587349,,,,,,,
56,Postcentral L,Somatomotor,not tested,0.19576271186440675,0.12025423728813553,-0.07550847457627125,5,0.31206982831284463,0.0009934908631806115,,,,,,,
57,Postcentral R,Somatomotor,not tested,0.27406779661016967,0.25169491525423715,-0.022372881355932416,6,0.6238409987605302,0.0018948355974253194,,,,,,,
58,Parietal Sup L,Dorsal Attn,not tested,-0.03355932203389835,-0.022372881355932274,0.011186440677966078,6,0.3192417108743393,0.0009128193645698803,,,,,,,
59,Parietal Sup R,Dorsal Attn,not tested,-0.013983050847457682,0.05033898305084743,0.06432203389830511,18,1.1939610909362484,0.002939408915764479,,,,,,,
60,Parietal Inf L,Dorsal Attn,not tested,0.41669491525423724,0.23491525423728807,-0.1817796610169492,13,0.5272294625080591,0.0009911230227860766,,,,,,,
61,Parietal Inf R,Dorsal Attn,not tested,0.3551694915254239,0.016779661016949086,-0.33838983050847476,19,1.4310581182638198,0.0029227674502515194,,,,,,,
62,SupraMarginal L,Ventral Attn,not tested,0.21533898305084742,0.2181355932203389,0.0027966101694915104,10,0.7270210088109526,0.0019162929452156028,,,,,,,
63,SupraMarginal R,Ventral Attn,not tested,0.24330508474576276,0.12864406779661014,-0.11466101694915252,14,0.6836923444575523,0.0010320599311523257,,,,,,,
64,Angular L,Default Mode,not tested,0.03355932203389834,0.2992372881355932,0.265677966101695,9,0.35296382721126324,0.0005756292200698081,,,,,,,
65,Angular R,Default Mode,not tested,-0.15661016949152548,0.17338983050847456,0.33000000000000007,14,0.6256276122811263,0.0007628513644978607,,,,,,,
66,Precuneus L,Default Mode,non-driver,0.01398305084745754,-0.0531355932203391,-0.06711864406779665,18,0.9282476796396235,0.0036653932333164958,-4.530508474576249,-9.759050847457637,0.20135593220337647,-1.3088135593220496,-1.627627118644071,-3.9935593220338887,-10.134915254237285
67,Precuneus R,Default Mode,not tested,-0.15101694915254232,0.013983050847457601,0.16499999999999995,14,0.7352790039952901,0.0011187905030575545,,,,,,,
68,Paracentral Lob L,Somatomotor,not tested,0.18457627118644065,0.06711864406779658,-0.11745762711864403,19,0.6099140333389346,0.0007420748904203583,,,,,,,
69,Paracentral Lob R,Somatomotor,not tested,-0.11186440677966104,-0.1650000000000001,-0.05313559322033907,9,0.22823219383288673,0.00019302693959093143,,,,,,,
70,Caudate L,Subcortical,not tested,0.11186440677966095,0.013983050847457577,-0.09788135593220337,19,0.7394116339367511,0.0031513699465633553,,,,,,,
71,Caudate R,Subcortical,not tested,0.06711864406779663,-0.025169491525423762,-0.0922881355932204,16,0.7144212701059856,0.0013623895460365975,,,,,,,
72,Putamen L,Subcortical,not tested,0.1538135593220339,0.027966101694915223,-0.12584745762711863,10,0.5227583020293315,0.0010275931261109928,,,,,,,
73,Putamen R,Subcortical,not tested,0.1929661016949153,-0.055932203389830557,-0.24889830508474603,8,0.25980908044147255,0.0001809444841661835,,,,,,,
74,Pallidum L,Subcortical,not tested,-0.2936440677966103,0.008389830508474532,0.30203389830508487,5,0.03683954177468968,4.353765737595247e-05,,,,,,,
75,Pallidum R,Subcortical,non-driver,-0.005593220338983152,-0.1174576271186442,-0.11186440677966109,15,0.4960422266622735,0.0002771609347313612,-0.3355932203389765,0.409423728813543,-0.13423728813560928,0.06711864406778643,-1.090677966101694,-1.1913559322033862,-1.275254237288138
76,Thalamus L,Subcortical,not tested,0.28805084745762705,0.07271186440677967,-0.2153389830508474,15,0.7250708860540177,0.0003230840109239504,,,,,,,
77,Thalamus R,Subcortical,not tested,0.10347457627118628,0.05872881355932208,-0.04474576271186421,7,0.47012104116124126,0.00015551825769699108,,,,,,,
